[1.0882682  2.50344191]
[1.08826274 2.50343665]
[1.08825782 2.50343193]
[1.08825338 2.50342762]
[1.0882494  2.50342385]
[1.08824579 2.5034204 ]
[1.08824255 2.50341729]
[1.08823963 2.50341451]
[1.08823699 2.50341199]
[1.08823465 2.5034097 ]
[1.08823262 2.5034076 ]
[1.08823076 2.50340569]
[1.08822901 2.50340401]
[1.08822751 2.50340255]
[1.08822612 2.50340122]
[1.0882249  2.50340004]
[1.08822377 2.5033989 ]
[1.08822273 2.50339788]
[1.08822185 2.503397  ]
[1.08822112 2.50339623]
[1.08822047 2.50339549]
[1.08821982 2.50339478]
[1.08821924 2.50339425]
[1.08821874 2.50339381]
[1.08825729 2.50341821]
[1.08829205 2.50344012]
[1.0883232  2.50345987]
[1.0883513  2.50347766]
[1.08837656 2.50349372]
[1.08839924 2.50350811]
[1.08841972 2.50352101]
[1.08843812 2.50353273]
[1.08845467 2.50354323]
[1.08846953 2.50355274]
[1.088483   2.50356128]
[1.088495   2.50356892]
[1.08850577 2.5035759 ]
[1.0885155  2.50358214]
[1.08852422 2.50358781]
[1.08853201 2.50359281]
[1.08853909 2.50359729]
[1.08854543 2.50360135]
[1.08855111 2.50360508]
[1.08855622 2.50360839]
[1.08856083 2.5036114 ]
[1.08856493 2.50361416]
[1.08856861 2.50361669]
[1.08857196 2.50361886]
[1.08857493 2.50362083]
[1.08857758 2.50362262]
[1.08857992 2.50362418]
[1.08858212 2.50362569]
[1.08858407 2.50362699]
[1.08858589 2.50362818]
[1.08858742 2.50362919]
[1.08858886 2.50363013]
[1.08859014 2.50363099]
[1.08859127 2.50363176]
[1.08859227 2.50363245]
[1.08859321 2.50363304]
[1.08859401 2.50363361]
[1.08859474 2.50363413]
[1.08859533 2.50363465]
[1.08859589 2.5036351 ]
[1.08859644 2.50363547]
[1.08859691 2.50363581]
[1.08859736 2.50363609]
[1.08859774 2.50363633]
[1.08859813 2.50363659]
[1.08863746 2.5036617 ]
[1.08867291 2.50368432]
[1.0887048 2.5037046]
[1.08873351 2.50372289]
[1.08875941 2.50373945]
[1.08878263 2.50375431]
[1.08880348 2.50376759]
[1.08882223 2.50377964]
[1.08883908 2.50379054]
[1.08885424 2.50380032]
[1.08886789 2.50380911]
[1.08888019 2.50381699]
[1.08889118 2.50382413]
[1.08890111 2.50383055]
[1.08890997 2.50383627]
[1.08891798 2.50384144]
[1.08892521 2.50384605]
[1.08893167 2.50385027]
[1.08893743 2.50385407]
[1.08894262 2.50385748]
[1.08894732 2.50386059]
[1.08895158 2.50386339]
[1.08895529 2.50386593]
[1.08895876 2.50386817]
[1.08896183 2.50387019]
[1.08896454 2.50387208]
[1.08896694 2.50387368]
[1.08896917 2.50387522]
[1.0889712 2.5038766]
[1.08897306 2.50387779]
[1.08897464 2.50387888]
[1.08897605 2.50387987]
[1.08897733 2.50388074]
[1.08897847 2.50388154]
[1.08897953 2.50388223]
[1.08898047 2.50388283]
[1.08898129 2.5038834 ]
[1.08898204 2.50388396]
[1.08898262 2.50388449]
[1.0889832  2.50388494]
[1.08898375 2.50388532]
[1.08898423 2.50388566]
[1.08898467 2.50388594]
[1.08898506 2.50388619]
[1.08898546 2.50388646]
[1.08902483 2.50391156]
[1.08906024 2.50393418]
[1.08909213 2.50395445]
[1.08912085 2.50397272]
[1.08914674 2.50398929]
[1.08916995 2.50400415]
[1.08919085 2.50401739]
[1.0892096  2.50402946]
